total_t,total_f,prep_t,prep_f,minor_t,minor_f,teach_q_t,teach_q_f,vdip_t,vdip_f,ip_t,dip_f,bsc_t,bsc_f,hdip_t,hdip_f,msc_t,Msc_f,phd_t,phd_f,program_en,program_ar,prog_isced2,prog_isced1,inst,inst_type
272,221,,,,,,,,,,,272,221,,,,,,,Educational Guidance & Psychological Counseling,الإرشاد النفسي والتربوي,"علوم التربية
Education Science","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
14,11,,,,,,,,,,,,,,,14,11,,,Education Fundamentals,أصول التربية,"علوم التربية
Education Science","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
32,28,,,,,,,,,,,,,,,32,28,,,Curriculum & Teaching Methods,مناهج وأساليب التدريس,"علوم التربية
Education Science","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
95,40,,,,,,,,,,,95,40,,,,,,,Economics,الإقتصاد,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
10,8,,,,,,,,,,,10,8,,,,,,,English Language (Teacher),اللغة الإنجليزية -معلم,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
12,11,,,,,,,,,,,12,11,,,,,,,Teaching Methods of  Biology,أحياء وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
39,18,,,,,,,,,,,39,18,,,,,,,Teaching Methods of History,التاريخ وأساليب تدريسه,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
38,24,,,,,,,,,,,38,24,,,,,,,Teaching Methods of Geography,الجغرافيا وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
10,9,,,,,10,9,,,,,,,,,,,,, Educational Qualification,تأهيل تربوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
11,6,,,,,,,,,,,11,6,,,,,,,Teaching Methods of Physics,الفيزياء وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
37,28,,,,,,,,,,,37,28,,,,,,,Teaching Methods of Chemistry,الكيمياء وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
1,,,,,,,,,,,,1,,,,,,,,Social Science (Teacher),مواد اجتماعية/معلم مجال,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
2,2,,,,,,,,,,,2,2,,,,,,,Biology - Secondary Teacher,أحياء -معلم ثانوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
9,3,,,,,,,,,,,9,3,,,,,,,Arabic Language-Secondary Teacher,اللغة العربية -معلم ثانوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
3,,,,,,,,,,,,3,,,,,,,,History-Secondary Teacher,تاريخ -معلم ثانوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
1,,,,,,,,,,,,1,,,,,,,,Geography-Secondary Teacher,جغرافيا -معلم ثانوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
7,2,,,,,,,,,,,7,2,,,,,,,Islamic Studies-Secondary Teacher,دراسات اسلامية -معلم ثانوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
13,7,,,,,,,,,,,13,7,,,,,,,Math-Secondary Teacher,رياضيات -معلم ثانوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
2,1,,,,,,,,,,,2,1,,,,,,,Physics-Secondary Teacher,فيزياء -معلم ثانوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
10,7,,,,,,,,,,,10,7,,,,,,,Primary Level Teacher,معلم مرحلة دنيا,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
2,2,,,,,,,,,,,2,2,,,,,,,English Language (Teacher),اللغة الانجليزية -معلم ثانوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
230,149,,,,,,,,,,,230,149,,,,,,,Teaching Methods of Islamic Education,التربية الإسلامية وأساليب تدريسهما,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
128,93,,,,,,,,,,,128,93,,,,,,,Teaching Methods of Math,الرياضيات وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
528,456,,,,,,,,,,,528,456,,,,,,,Teaching Methods of English Language,اللغة الإنجليزية وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
214,160,,,,,,,,,,,214,160,,,,,,,Teaching Methods of Arabic Language,اللغة العربية وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
450,419,,,,,,,,,,,450,419,,,,,,,Brimary level (Class Room Teaching),المرحلة الأساسية الأولى,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
33,4,,,,,,,,,,,33,4,,,,,,,History/Political Science,التاريخ/علوم سياسية,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
211,183,,,,,,,,,,,211,183,,,,,,,English Language (Minor French),اللغة الإنجليزية/فرنسي,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
723,561,,,,,,,,,,,723,561,,,,,,,English Language & Literature,اللغة الإنجليزية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
118,68,,,,,,,,,,,118,68,,,,,,,Arabic Language/Media,اللغة العربية/إعلام,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
9,4,,,,,,,,,,,,,,,9,4,,,Arabic Language & Literature,اللغة العربية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
247,197,,,,,,,,,,,247,197,,,,,,,Arabic Language & Literature,اللغة العربية وآدابها,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
2,,,,,,,,,,,,,,,,2,,,,Islamic Studies, الدراسات الإسلامية-الحديث وعلومه,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
18,2,,,,,,,,,,,,,,,18,2,,,Islamic Studey,دراسات إسلامية-الفقه المقارن,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
189,89,,,,,,,,,,,189,89,,,,,,,Islamic shariaa’,الشريعة ,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
1,1,,,,,,,,,,,,,,,1,1,,,جغرافيا,جغرافيا,"الدراسات الإنسانية
Humanities","الدراسات الإنسانية والفنون
Humanities & Arts","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
79,25,,,,,,,,,,,79,25,,,,,,,Political Science,العلوم السياسية,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
87,72,,,,,,,,,,,87,72,,,,,,,Sociology-psychology,علم اجتماع/علم نفس,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
180,109,,,,,,,,,,,180,109,,,,,,,Sociology/Social Work,إجتماع/خدمة إجتماعية,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
23,12,,,,,,,,,,,23,12,,,,,,,Geography/Planning,جغرافيا-تخطيط,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
24,18,,,,,,,,,,,,,,,24,18,,, Education/Psychology,تربية-علم نفس,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
16,1,,,,,,,,,,,,,,,16,1,,,Political Science,العلوم السياسية,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
19,6,,,,,,,,,,,,,,,19,6,,,Middle East Studies,دراسات الشرق الأوسط,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
19,6,,,,,,,,,,,,,,,19,6,,,Economics,الإقتصاد,"العلوم الإجتماعية والسلوكية 
Social & Behavioral Science","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
364,204,,,,,,,,,,,364,204,,,,,,,الإعلام والإتصال الجماهيري,الإعلام والإتصال الجماهيري,"الصحافة والإعلام
Journalism & Information","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
380,152,,,,,,,,,,,380,152,,,,,,,Economics & Management Science-General,الإقتصاد والعلوم الإدارية-عام,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
427,218,,,,,,,,,,,427,218,,,,,,,Business Administration ,إدارة الأعمال,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
187,103,,,,,,,,,,,187,103,,,,,,,Economics & Management Science-General-English,الاقتصاد والعلوم الإدارية-عام-لغة أنجليزية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
613,161,,,,,,,,,,,613,161,,,,,,,Accounting,المحاسبة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
280,188,,,,,,,,,,,280,188,,,,,,,Business Administration ,إدارة أعمال-لغة إنجليزية,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
193,95,,,,,,,,,,,193,95,,,,,,,Accounting (English),محاسبة - إنجليزي,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
69,31,,,,,,,,,,,,,,,69,31,,,Business Administration ,إدارة الأعمال,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
46,17,,,,,,,,,,,,,,,46,17,,,Accounting,المحاسبة,"الأعمال التجارية والإدارة
Business & Administration","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
1336,412,,,,,,,,,,,1336,412,,,,,,,Law,الحقوق,"القانون
Law","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
34,6,,,,,,,,,,,,,,,34,6,,,Law-Program,قانون-برنامج,"القانون
Law","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
25,4,,,,,,,,,,,,,,,25,4,,,Special Law,قانون-خاص,"القانون
Law","العلوم الإجتماعية والأعمال التجارية والقانون
Social Science, Business & Law","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
689,219,,,,,,,,,,,689,219,,,,,,,Eng. & IT-General,الهندسة وتكنولوجيا المعلومات-عام,"العلوم-عام
Science-General","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
106,55,,,,,,,,,,,106,55,,,,,,,Science-General,العلوم-عام,"العلوم-عام
Science-General","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
76,55,,,,,,,,,,,76,55,,,,,,,Microbiology,أحياء دقيقة,"علوم الحياة
Life Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
2,2,,,,,,,,,,,2,2,,,,,,,Geology/Water Resources,جيولوجيا/مصادر مياه,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
2,1,,,,,,,,,,,2,1,,,,,,,Electronic physics,فيزياء إلكترونية,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
41,16,,,,,,,,,,,41,16,,,,,,,Physics,فيزياء منفرد,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
14,8,,,,,,,,,,,14,8,,,,,,,Medical Physics,فيزياء طبية,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
10,8,,,,,,,,,,,10,8,,,,,,,Pure Chemistry,كيمياء بحتة,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
106,57,,,,,,,,,,,106,57,,,,,,,Applied Chemistry,كيمياء تطبيقة,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
9,8,,,,,,,,,,,,,,,9,8,,,Chemistry,كيمياء,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
3,2,,,,,,,,,,,,,,,3,2,,,Biology, علم الأحياء,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
20,16,,,,,,,,,,,,,,,20,16,,,Clinical Nutrition, التغذية الاكلينيكية,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
4,2,,,,,,,,,,,,,,,4,2,,,فيزياء,فيزياء,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
11,7,,,,,,,,,,,11,7,,,,,,,فيزياء/تكنولوجيا النانو,فيزياء/تكنولوجيا النانو,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
10,4,,,,,,,,,,,10,4,,,,,,,جيولوجيا/علم بيئية,جيولوجيا/علم بيئية,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
6,3,,,,,,,,,,,,,,,,,6,3,Water Technology,تكنولوجيا المياه,"العلوم الفيزيائية
Physical Sciences","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
17,12,,,,,,,,,,,17,12,,,,,,,Applied Statistics,الإحصاء التطبيقي,"الرياضيات والإحصاء
Mathematics & Statistics","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
17,5,,,,,,,,,,,17,5,,,,,,,Methematics/Computer,رياضيات/حاسوب,"الرياضيات والإحصاء
Mathematics & Statistics","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
40,24,,,,,,,,,,,40,24,,,,,,,Mathematics,رياضيات-منفرد,"الرياضيات والإحصاء
Mathematics & Statistics","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
5,1,,,,,,,,,,,,,,,5,1,,,Applied statistics,الإحصاء التطبيقي,"الرياضيات والإحصاء
Mathematics & Statistics","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
16,9,,,,,,,,,,,,,,,16,9,,,Methematics,الرياضيات,"الرياضيات والإحصاء
Mathematics & Statistics","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
17,6,,,,,,,,,,,17,6,,,,,,,Information Systems,نظم المعلومات,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
83,30,,,,,,,,,,,83,30,,,,,,,Computer Science,علوم الحاسوب,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
15,7,,,,,,,,,,,,,,,15,7,,,Artificial Intelligence, الذكاء الصناعي,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
25,9,,,,,,,,,,,,,,,25,9,,,الحوسبة ونظم المعلومات,الحوسبة ونظم المعلومات,"الحاسوب والمعلوماتية
Computing","العلوم
Science","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
248,15,,,,,,,,,,,248,15,,,,,,,Mecatronincs Engineering,هندسة المكاترونكس,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
355,163,,,,,,,,,,,355,163,,,,,,,Computer System Engineering,هندسة أنظمة الحاسوب,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
203,116,,,,,,,,,,,203,116,,,,,,,Computer & Communication Engineering,هندسة الحاسوب و الاتصالات,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
155,52,,,,,,,,,,,155,52,,,,,,,هندسة معدات طبية ,هندسة معدات طبية ,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
75,27,,,,,,,,,,,75,27,,,,,,,Renewable Energy Engineering,هندسة الطاقة المتجددة,"الهندسة والمهن الهندسية
Engineering & Engineering Trades","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
55,18,,,,,,,,,,,55,18,,,,,,,Food Production,الصناعات الغذائية,"التصنيع والصناعات التحويلية
Manufacturing & Processing","الهندسة والتصنيع والبناء
Eng., Manufacturing & Construction","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
80,10,,,,,,,,,,,80,10,,,,,,,Plant Production & Prevention,الإنتاج النباتي والوقاية,"الزراعة والغابات والصيد
Agriculture, Forestry & Fishry","الزراعة
Agriculture","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
69,3,,,,,,,,,,,69,3,,,,,,,Animal Production,الإنتاج الحيواني والدواجن,"الزراعة والغابات والصيد
Agriculture, Forestry & Fishry","الزراعة
Agriculture","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
55,5,,,,,,,,,,,55,5,,,,,,,Agriculture & Environmental Science - General,الزراعية والبيئة-عام,"الزراعة والغابات والصيد
Agriculture, Forestry & Fishry","الزراعة
Agriculture","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
1,1,,,,,,,,,,,,,,,1,1,,,Plant Production & Prevention,الإنتاج النباتي والوقاية,"الزراعة والغابات والصيد
Agriculture, Forestry & Fishry","الزراعة
Agriculture","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
20,12,,,,,,,,,,,,,,,20,12,,,Pharmacy ,الصيدلة,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
1322,1048,,,,,,,,,,,1322,1048,,,,,,,Pharmacy ,الصيدلة,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
610,325,,,,,,,,,,,610,325,,,,,,,Medicine,الطب,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
358,246,,,,,,,,,,,358,246,,,,,,,Applied Medical Science-General,العلوم الطبية التطبيقية-عام,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
257,214,,,,,,,,,,,257,214,,,,,,,X-rays-Medical Imaging,الأشعة التشخيصية والعلاجية,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
548,413,,,,,,,,,,,548,413,,,,,,,Medical Laboratory Science,الطب المخبري,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
191,124,,,,,,,,,,,191,124,,,,,,,Physiotherapy,العلاج الطبيعي,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
1,,,,,,,,,,,,1,,,,,,,,Physiotherapy,علاج طبيعي,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
566,426,,,,,,,,,,,566,426,,,,,,,Dentistry,طب وجراحة الأسنان ,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
211,135,,,,,,,,,,,211,135,,,,,,,التمريض,التمريض,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
17,6,,,,,,,,,,,,,,,17,6,,,Medical Imaging ,التصوير الطبي,"الصحة
Health","الصحة والخدمات الإجتماعية
Health & Welfare","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
245,225,,,,,,,,,,,245,225,,,,,,,Psychological Counseling,التوجيه التربوي والإرشاد النفسي,"علوم التربية
Education Science","التربية
Education","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
133,109,,,,,,,,,,,,,,,133,109,,,Curriculum & Teaching Methods,مناهج وطرق التدريس-مناهج,"علوم التربية
Education Science","التربية
Education","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
98,73,,,,,,,,,,,,,,,98,73,,,Educational Fundamentals,أصول التربية/الإدارة التربوية,"علوم التربية
Education Science","التربية
Education","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
57,29,,,,,,,,,,,,,,,,,57,29,Curriculum and teaching methods,مناهج وطريق تدريس,"علوم التربية
Education Science","التربية
Education","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
9,9,,,,,,,,,,,9,9,,,,,,,Teaching Methods of Biology ,الأحياء وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
14,12,,,,,,,,,,,14,12,,,,,,,Teaching Methods of History,التاريخ وأساليب تدريسه,"تدريب المعلمين
Teacher Training","التربية
Education","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
772,749,,,,,,,,,,,772,749,,,,,,,Brimary level (Class Room Teaching),التعليم الاساسي/مرحلة دنيا,"تدريب المعلمين
Teacher Training","التربية
Education","الجامعة الإسلامية
Islamic University - Gaza","جامعات تقليدية
Traditional Universities"
